id,nshsc-id,trainee-url,surname,forename,dob,email,gender,ethnicity,disability,religion,programme,programme-abbr,specialism,progress,cohort,region,icb,trust,hospital,supported,employer,training site,case manager,case status,case issue/tag/category,outcome,review 1,review 2,review 3,review 4,mrp-test,progress-url,hei,status
854530,491418,https://torchbox.github.io/NSHCS-TMS/templates/details-view.html,Miller,Mark,1974-08-06,johnsonlydia@example.net,Female,Other,N,Buddhist,Practitioner Training Programme,PTP,Cardiac Science - Echo,73,2018,Northern Ireland,NHS South East London,Hampshire Hospitals NHS Foundation Trust,Bristol Centre for Reproductive Medicine,Y,"Oconnell, Reed and Brown","Barking, Havering and Redbridge University Hospitals NHS Trust",Phillip Willis,Open,category 2,,1,,,3,3,https://torchbox.github.io/NSHCS-TMS/templates/progress-view.html,Imperial College London,Inactive
300343,683578,https://torchbox.github.io/NSHCS-TMS/templates/details-view.html,Jones,Alyssa,1976-08-19,april21@example.org,Other,White,Y,Buddhist,Scientist Training Programme,STP,Clinical Bioinformatics - Physics and Engineering Informatics,53,2016,South East,NHS Staffordhsire and Stoke-on-Trent,Ashford and St Peter's Hospitals NHS Foundation Trust,Great Western Hospital,N,"Sanders, Shaw and Strong",London Women's Clinic,Christy Massey,,category 4,,,,3,3,1,https://torchbox.github.io/NSHCS-TMS/templates/progress-view.html,University of Warwick,Inactive - Withdrawn
218155,577191,https://torchbox.github.io/NSHCS-TMS/templates/details-view.html,Andrade,Katie,1978-02-04,perryjonathan@example.net,Female,Black,Y,Muslim,Clinical Data Science Programme,CDSP,Genomic Counselling,3,2020,South East,NHS Humber and North Yorkshire,Hampshire Hospitals NHS Foundation Trust,UKHSA Colindale,Y,Harrell Inc,Trafford General Hospital,Phillip Willis,Open,category 4,Pass,2,1,,1,2,https://torchbox.github.io/NSHCS-TMS/templates/progress-view.html,University of Birmingham,Inactive
483519,116022,https://torchbox.github.io/NSHCS-TMS/templates/details-view.html,Clark,Luke,1983-01-23,xnicholson@example.com,Prefer not to say,Asian,Y,Sikh,Echocardiography Training Programme,ETP,Medical Device Risk Management & Governance,64,2018,NHS Northern Ireland,NHS North East and North Cumbria,St Helens and Knowsley Teaching Hospitals NHS Trust,John Radcliffe Hospital,N,West Group,Epsom General Hospital,Francisco Sharp,Close,category 1,Pass,3,1,,,1,https://torchbox.github.io/NSHCS-TMS/templates/progress-view.html,Newcastle University,Inactive - Withdrawn
108283,827442,https://torchbox.github.io/NSHCS-TMS/templates/details-view.html,Taylor,Shaun,1986-08-05,michael58@example.net,Other,Other,N,Jewish,Practitioner Training Programme,PTP,Cytopathology,75,2021,NHS Northern Ireland,NHS Cambridgeshire and Peterborough,London North West University Healthcare NHS Trust,Kingston Hospital & St Mary's Hospital,N,White Ltd,"Barking, Havering and Redbridge University Hospitals NHS Trust",Jason Taylor,Close,category 4,Fail,3,,,,2,https://torchbox.github.io/NSHCS-TMS/templates/progress-view.html,University College London,Inactive - Withdrawn
952852,849410,https://torchbox.github.io/NSHCS-TMS/templates/details-view.html,Thompson,Michael,1970-12-04,pamelastanley@example.org,Other,Asian,N,Jewish,Echocardiography Training Programme,ETP,Microbiology,87,2021,Midlands,NHS South East London,King's College Hospital NHS Foundation Trust,York Hospital,N,Hughes-Edwards,Countess of Chester Hospital,Francisco Sharp,Close,category 3,Pass,,1,,3,2,https://torchbox.github.io/NSHCS-TMS/templates/progress-view.html,Queen's University Belfast,Active - FT
565238,118685,https://torchbox.github.io/NSHCS-TMS/templates/details-view.html,Wu,April,1982-05-02,weissjulie@example.net,Male,White,N,Hindu,Scientist Training Programme,STP,Bioinformatics - Genomics,85,2019,South West,NHS Black Country,Imperial College Healthcare NHS Trust,Cumberland Infirmary,Y,"Curtis, Ochoa and Bates",Altnagelvin Hospital,Tracy Gonzalez,Close,category 3,,3,1,2,2,1,https://torchbox.github.io/NSHCS-TMS/templates/progress-view.html,Newcastle University,Active - PT
909754,265003,https://torchbox.github.io/NSHCS-TMS/templates/details-view.html,Barnes,Sarah,1977-01-10,alexcordova@example.org,Female,Black,N,Muslim,Echocardiography Training Programme,ETP,Clinical Bioinformatics - Physics and Engineering Informatics,58,2015,Midlands,NHS South Yorkshire,London North Consortium,St. Michael's Hospital,Y,Gonzalez-Lee,Glan Clwyd Hospital,Karen Forbes,Open,category 2,,,,,1,1,https://torchbox.github.io/NSHCS-TMS/templates/progress-view.html,King's College London,Inactive - Withdrawn
485463,621965,https://torchbox.github.io/NSHCS-TMS/templates/details-view.html,Pacheco,Christie,1989-05-15,ryanthomas@example.com,Female,Black,N,Other,Higher Specialist Scientist Training Programme,HSSTP,Imaging (Non-Ionising Radiation),33,2020,Northern Ireland,NHS Black Country,Gloucestershire Hospitals NHS Foundation Trust,Royal Victoria Infirmary,Y,"Callahan, Davidson and Hill",Burnley General Teaching Hospital,Jason Taylor,Close,category 2,Fail,1,1,,,1,https://torchbox.github.io/NSHCS-TMS/templates/progress-view.html,University of Oxford,Inactive - Passed
615696,694501,https://torchbox.github.io/NSHCS-TMS/templates/details-view.html,Jones,Amanda,1976-06-23,bjoyce@example.org,Other,Prefer not to say,N,Christian,Higher Specialist Scientist Training,HSST,Molecular Pathology of Acquired Disease,88,2020,NHS Scotland,NHS Staffordhsire and Stoke-on-Trent,East and North Hertfordshire NHS Trust,St. Michael's Hospital,N,"Boyle, Powell and Graves",Frenchay Hospital,Renee Harris,Open,category 3,Pass,3,,3,1,1,https://torchbox.github.io/NSHCS-TMS/templates/progress-view.html,Imperial College London,Inactive
